idImpianto,Gestore,Bandiera,Tipo Impianto,Nome Impianto,Indirizzo,Comune,Provincia,Latitudine,Longitudine,,,
28169,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,VIA SAN FRANCESCO CAMMARATA,VIA SAN FRANCESCO  92022,CAMMARATA,AG,37.631579713679294,13.638728119179177,,,
14853,CIOTTA MICHELE,Esso,Altro,ciotta michele,PIAZZA MARCONI  92023,CAMPOBELLO DI LICATA,AG,37.26096034896939,13.918012753129005,,,
20349,PATTI GIOVANNI,Q8,Altro,Distributore Q8 Patti Giovanni,VIA EDISON SNC 92023,CAMPOBELLO DI LICATA,AG,37.26530654024615,13.91839899122715,,,
15020,MEGA SERVICE S.A.S. DI TERMINI MICHELE &C .,Q8,Strada Statale,mega service sas,Statale 123 di Licata. Km. 15+500. dir. Campobello di Licata 92023,CAMPOBELLO DI LICATA,AG,37.2501591057899,13.91422614455223,,,
23777,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Agip Eni,Altro,A. Di Benedetto srl V.le C. Alberto Canicatti,VIALE CARLO ALBERTO SNC 92024,CANICATTI',AG,37.36246631312339,13.8555327218387,,,
9408,DI BENEDETTO FABIO,Q8,Altro,Di Benedetto Fabio,CONTRADA MADONNA AIUTO SS 122 KM 35.9 92024,CANICATTI',AG,37.380115518448335,13.846850395202637,,,
20538,F.LLI BARBIERI S.N.C. DI BARBIERI ANTONIO. CROCE E MARIA RITA,Pompe Bianche,Altro,F.LLI BARBIERI snc,VIALE GIUDICE ANTONINO SAETTA SN. 92024,CANICATTI',AG,37.35224334922593,13.832277953624725,,,
31425,PETROLSERVICES S.A.S. DI RICCARDO DI BENEDETTO & C.,Giap,Altro,GIAP,via Vittorio Emanuele 156 92024,CANICATTI',AG,37.36153253815698,13.85412821798866,,,
34101,GRM DI MARCHESE RAGONA GIUSEPPE S.A.S.,Pompe Bianche,Strada Statale,GRM SAS,Statale 122 Agrigentina. Km. 27+030. dir. AGRIGENTO 92024,CANICATTI',AG,37.36224200841267,13.788746371865273,,,
29965,DI BENEDETTO CARBURANTI S.R.L.,Pompe Bianche,Altro,I.D.C. Canicatti' . Viale Giudice Saetta ,Viale Giudice Saetta   92024,CANICATTI',AG,37.352213526915726,13.832169380904588,,,
21135,CATANIA PETROLI SRL,Q8,Altro,Q8,VIALE DELLA VITTORIA BIVIO PER NARO . 92024  92020,CANICATTI',AG,37.353495333263986,13.845332264900208,,,
13093,DI BENEDETTO RICCARDO,Esso,Altro,Riccardo Di Benedetto,VIA CALVI (ANGOLO VIA CAP. MAIRA). 92024,CANICATTI',AG,37.35378188797039,13.84777843952179,,,
16277,SUD - PETROLI S.A.S. DI CAICO GIACINTO,Esso,Altro,SUD PETROLI,VIALE DELLA VITTORIA SN.. 92024,CANICATTI',AG,37.35217013095468,13.840876041670981,,,
13960,FANTAUZZO ELVIRA GIUSEPPA,Q8,Altro,Distributore carburanti Q8,via  Trento. 92025,CASTELTERMINI,AG,37.54201293991072,13.646484017372131,,,
30771,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,S.P. 20 KM 19+780 CASTELTERMINI,S.P. 20 KM 19+780  92025,CASTELTERMINI,AG,37.54271305995729,13.652730882167816,,,
33092,VOLPE SANTO,Agip Eni,Altro,Volpe Santo  ENI,VIA NAZIONALE  92020,CASTROFILIPPO,AG,37.349478335003155,13.759579360485077,,,
18512,MICELI MICHELINA,Pompe Bianche,Altro,Pompa Bianca,VIA ORETO SN. 92011  92011,CATTOLICA ERACLEA,AG,37.44098464597239,13.390876672688591,,,
22153,AGOZZINO PASQUALE,SP Energia Siciliana,Altro,SP ENERGIA SICILIANA,VIA ENNA  92011,CATTOLICA ERACLEA,AG,37.44087786981091,13.391040489077568,,,
9498,DP FUEL DI D'ANNA FRANCESCO & C. SNC,Q8,Altro,DP FUEL DI D'ANNA FRANCESCO & C. SNC,STRADA STATALE 118 CORSO NAZIONALE 1 92012,CIANCIANA,AG,37.51986048686688,13.436181396245956,,,
23772,DBS SERVIZI PETROLIFERI S.R.L.,Esso,Altro,DBS Serv.Petr. srl COMITINI, SS 189 KM 47+690 SN 92020,COMITINI,AG,37.445185640773154,13.65965550805663,,,
25077,A.NUARA E FIGLI SRL,Pompe Bianche,Strada Statale,CONTRADA BURRAITI SS 115 KM 197+435,Statale 115 Sud Occidentale Sicula. Km. KM 197+435. dir. FAVARA 92026,FAVARA,AG,37.247453962516225,13.667558133602142,,,
21532,CASTRONOVO FILIPPO,Agip Eni,Altro,ENI,VIA CAP. CALLEA SNC 92026,FAVARA,AG,37.32455050835047,13.662984558860785,,,
4112,DI NOLFO MARIA CARBURANTI S.A.S.,Agip Eni,Altro,Eni 55029 - Di Nolfo Maria Carburanti Sas,VIA NENNI S.S 122 KM.11+870 S.N. 92026,FAVARA,AG,37.321189939736215,13.665801286697388,,,
14269,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,FAVARA CORSO VITTORIO VENETO,CORSO VITTORIO VENETO  92026,FAVARA,AG,37.308283573197194,13.658229843586014,,,
8015,FLOAN S.R.L.,Q8,Altro,FLOAN S.R.L.,C.da San Benedetto S.P. 15  92026,FAVARA,AG,37.35069028016745,13.61182987689972,,,
33037,LIMBLICI ANTONIO,Q8,Altro,Limblici Antonio,VIA ALDO MORO 97 92026,FAVARA,AG,37.306426398958635,13.648471041525227,,,
33022,MENDOLIA ANTONIO,Pompe Bianche,Altro,mendolia antonio,SP85 sn 92026,FAVARA,AG,37.34720422200081,13.676785860118798,,,
4631,A.NUARA E FIGLI SRL,Pompe Bianche,Strada Statale,Nuara - San Benedetto. Agrigento,Statale 189 della Valle del Platani. Km. 61+400. dir. Palermo 92026,FAVARA,AG,37.34813843492682,13.616244792938232,,,
13225,SCARIANO BENEDETTA,SP Energia Siciliana,Altro,SP ENERGIA SICILIANA,VIA FRANCESCO CRISPI 101 92026,FAVARA,AG,37.3202812247021,13.663748660226247,,,
18953,BRUCCOLERI GIOVANNI,SP Energia Siciliana,Altro,SP ENERGIA SICILIANA,VIA IV NOVEMBRE 49 92026,FAVARA,AG,37.30937399645873,13.656537317326638,,,
17715,A.NUARA E FIGLI SRL,Lukoil,Altro,SP N.3 KM 13+300 FAVARA,STRADA PROVINCIALE N. 3 KM 13+300  92026,FAVARA,AG,37.36124386528102,13.64222601056099,,,
12786,DI BENEDETTO CARBURANTI S.R.L.,Api-Ip,Altro,IP JOPPOLO GIANCAXIO,CONTRADA BORSELLINO STRADA COMUNALE 34-36. 92010,JOPPOLO GIANCAXIO,AG,37.35776540601626,13.556865307730845,,,
26359,COSTANZO ROSARIO,Pompe Bianche,Altro,Ditta Costanzo Rosario Distributore Carburanti,CONTRADA GUITGIA snc 92010,LAMPEDUSA E LINOSA,AG,35.50090521590136,12.601562553687472,,,
29562,NAUTILUS MARINE S.R.L.,Pompe Bianche,Altro,NAUTILUS MARINE SRL,LOCALITA' POZZOLANA  92010,LAMPEDUSA E LINOSA,AG,35.86357710208189,12.85238653421402,,,
24796,PETROL SERVICE LAMPEDUSA DI CASERTA G. E FORLANI F.S.A.S.,Pompe Bianche,Altro,Petrol Service Lampedusa ,Via LungoMare Luigi Rizzo   ,LAMPEDUSA E LINOSA,AG,35.49971976643542,12.606536749553356,,,
12369,DI BENEDETTO CARBURANTI S.R.L.,Esso,Altro, ESSO LICATA. VIA PALMA,VIA PALMA 320 92027,LICATA,AG,37.11150064654609,13.921595513820648,,,
27202,ALAIMO AMEDEO ANGELO,Esso,Altro,ALAIMO,PIAZZA LINARES 00 92027,LICATA,AG,37.10264903123856,13.940131775969348,,,
27288,VITALI EMANUELE GIUSEPPE,Agip Eni,Altro,ENI via Palma di Vitali Emanuele,via Palma 118 92027,LICATA,AG,37.10984250495661,13.927364945411682,,,
12667,LIOTTA MARIA ROSA E CO. S.A.S.,Agip Eni,Altro,ENI-LIOTTA MARIA ROSA &CO SAS,VIA GELA (RIFORNIMENTO AGIP)  92027,LICATA,AG,37.10982731810983,13.951735496520996,,,
20954,DE CARO AGOSTINO,Esso,Altro,Esso Tiger Bar,Via Gela s.n.c.,LICATA,AG,37.114686349528775,13.95988404750824,,,
11336,GRACI ROSARIO,Giap,Altro,GIAP,CORSO UMBERTO 117 92027,LICATA,AG,37.10335720101978,13.940623718040115,,,
8898,RADOSTA CARBURANTI DI FILIPPO RADOSTA E C.-S.A.S.,Q8,Altro,STAZIONE DI SERVIZIO - RADOSTA CARBURANTI,VIA PALERMO S.S.386  92010,LUCCA SICULA,AG,37.59076912509383,13.291043043136597,,,
23779,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,Altro,A. Di Benedetto srl Via del Serpente Menfi Ag,VIA DEL SERPENTE SNC. 92013,MENFI,AG,37.60656371320964,12.958240324792541,,,
27408,BONFANTE ANTONINO,Agip Eni,Altro,ENI,C/da Mandrozzi Ex SS 115 sn 92013,MENFI,AG,37.59580305899636,12.972823083400726,,,
25814,PETROL AGRICOLTURA  S.R.L.,Esso,Strada Statale,ESSO,Statale 188 Centro Occidentale Sicula. Km. 72+661. dir. CASTELVETRANO 92010,MONTEVAGO,AG,37.705916359938364,12.980978339910507,,,
14967,SCIROTTA  S.A.S. DI ACCIDENTI GIUSEPPE,Q8,Altro,scirotta s.a.s,PIAZZA VESPUCCI null.   92010,MONTEVAGO,AG,37.70348584273863,12.991232425015368,,,
15744,CAMMARATA RENATO,Pompe Bianche,Strada Statale,cammarata renato,Statale 123 di Licata. Km. 8+934. dir. licata 92028,NARO,AG,37.305158975136194,13.915430456399918,,,
12021,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,V.UMBERTO I NARO,VIALE UMBERTO I  92028,NARO,AG,37.29438302041931,13.795680592035524,,,
27393,INCARDONA S.R.L.,Pompe Bianche,Strada Statale,INCARDONA,Statale 115 dir Sud Occidentale Sicula. Km. 115. dir. SUD 92020,PALMA DI MONTECHIARO,AG,37.18339976584025,13.768924176692963,,,
14343,CATANIA NICOLA,Pompe Bianche,Altro,NOBILE OIL GROUP,Viale Pirandello 2 ,PALMA DI MONTECHIARO,AG,37.189200084525496,13.771200694422987,,,
17121,SINAGRA PAOLO,Esso,Altro,DISTRIBUTORE ESSO DI SINAGRA PAOLO,VIA UMBERTO1 1 92014,PORTO EMPEDOCLE,AG,37.28913270117055,13.530381917953491,,,
33237,NUARA PASQUALE,Agip Eni,Strada Statale,Nuara Pasquale ,Statale 115 dir Sud Occidentale Sicula. Km. 179+640. dir. Trapani 92014,PORTO EMPEDOCLE,AG,37.29374099791888,13.508563233854716,,,
8071,PETROL MOSE' S.R.L.,Agip Eni,Strada Statale,PETROL MOSE' SRL ,Statale 115 Sud Occidentale Sicula. Km. 183+388. dir. SUD 92014,PORTO EMPEDOCLE,AG,37.294706117950234,13.541397750377655,,,
16610,MORREALE VINCENZO,Q8,Altro,Q8,VIA E.MAIORANA SN 92020,RACALMUTO,AG,37.40828114966902,13.704168274998665,,,
18601,MATTINA GIUSEPPE,Tamoil,Altro,tamoil,VIA GARIBALDI  92020,RACALMUTO,AG,37.41100286863684,13.728470199070216,,,
10302,ANGELO CUFFARO S.R.L.,Esso,Altro,Angelo Cuffaro s.r.l.,VIA F.16 60 92015,RAFFADALI,AG,37.39378646445569,13.532358705997467,,,
10299,CUFFARO ANGELO,Esso,Altro,Cuffaro Angelo,VIA PORTA AGRIGENTO 134 92015,RAFFADALI,AG,37.39707361548874,13.534808903932571,,,
9373,ALONGE LUIGI & C. S.A.S. DI ALONGE GERLANDO,Q8,Strada Statale,q8,Statale 118 Corleonese Agrigentina. Km. 134. dir. agrigento 92015,RAFFADALI,AG,37.390393895042074,13.532240688800812,,,
13200,F.LLI LA MARCA S.A.S. DI LA MARCA GIROLAMO E CALOGERO & C.,Agip Eni,Altro,ENI,CORSO GARIBALDI  92020,RAVANUSA,AG,37.26516393901318,13.970295662587773,,,
32155,EUROIL S.R.L.S.,Pompe Bianche,Altro,EUROIL SRLS CARBURANTI - GPL,VIALE ALDO MORO SN 92029,RAVANUSA,AG,37.2638549339943,13.958510106237782,,,
16232,LA MARCA SALVATORE & C. S.N.C.,Pompe Bianche,Altro,pit stop,VIA OLIMPICA 8 92029,RAVANUSA,AG,37.26478227822157,13.970917314291,,,
33436,DAINA PALERMO GIOVANNI,Agip Eni,Altro,ENI 19826,VIA S.S.115 KM 170  92010,REALMONTE,AG,37.33127879006203,13.430987298488617,,,
33762,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,VIA RINA REALMONTE,VIA RINA  92010,REALMONTE,AG,37.31230557940277,13.466674089431763,,,
26796,F.LLI TURANO S.A.S. DI TURANO GIOACCHINO  & C.,Agip Eni,Altro,agip/eni,VIA CIRCONVALLAZIONE SN 92016,RIBERA,AG,37.49448824321571,13.263874691548153,,,
21179,COCCHIARA ALESSANDRA & C. S.A.S.,Esso,Altro,Cocchiara Alessandra e C. s.a.s.,Viale Garibaldi 4 92016,RIBERA,AG,37.50187926154549,13.263141363229352,,,
26901,FRATELLI RIGGI S.A.S.DI RIGGI ANDREA,Agip Eni,Altro,ENI,VIALE GARIBALDI STAZ. DI SERV. AGIP snc 92016,RIBERA,AG,37.500030732999434,13.25885385274887,,,
26795,GIARDINELLO CARBURANTI S.R.L.,Q8,Strada Statale,giardinello,Statale 115 Sud Occidentale Sicula. Km. 143+764. dir. agrigento 92016,RIBERA,AG,37.43921670977545,13.265479177171073,,,
22548,MARABELLA S.A.S DI MARABELLA ANGELO & C.,Q8,Altro,Q8 MARABELLA SAS,VIA  CIRCONVALLAZIONE,RIBERA,AG,37.49379391005386,13.264821767807007,,,
21565,MARABELLA S.A.S DI MARABELLA ANGELO & C.,Q8,Altro,Q8MARABELLA,CORSO UMBERTO . 92016,RIBERA,AG,37.50502973178759,13.273820579051971,,,
26904,RIBERA 96  S.A.S. DI  MICELI  ANNA  &  C.,Agip Eni,Altro,Ribera 96 sas,VIA CAMPO SPORTIVO 230 92016,RIBERA,AG,37.49843620746494,13.26864939140171,,,
20966,LO RASO STEFANIA,Esso,Altro,stazione esso di lo raso stefania,VIA CIRCONVALLAZIONE 3 92016,RIBERA,AG,37.498122373265836,13.258715718984604,,,
9474,MAGGIO ANTONIO,Esso,Altro,Distributore Esso,Via E. Berlinguer 109 92017,SAMBUCA DI SICILIA,AG,37.64462709209819,13.107199397727413,,,
9989,GANDOLFO MICHELE,Agip Eni,Altro,eni gandolfo,CORSO UMBERTO I  92017,SAMBUCA DI SICILIA,AG,37.644746140504374,13.107552713588575,,,
24719,CAPODICASA SALVATORE,Pompe Bianche,Altro,CAPODICASA SALVATORE,PIAZZA MAROTTA  92020,SAN BIAGIO PLATANI,AG,37.51037738779058,13.52652703498768,,,
12558,PANEPINTO SALVATORE,Esso,Altro,esso italiana,VIA UMBERTO I 179 92020,SAN GIOVANNI GEMINI,AG,37.62758340445863,13.639979660511017,,,
22035,PACI TONINO,Api-Ip,Altro,rifornimeto carburante tonino paci,CONTRADA SOPRACANALE SNC 92020,SANT'ANGELO MUXARO,AG,37.47511905772643,13.558492809534073,,,
27728,MARINO CALOGERA,Agip Eni,Altro,IMPIANTO ENI,VIA UMBERTO 37 92018,SANTA MARGHERITA DI BELICE,AG,37.690156816321014,13.022739663720131,,,
