"","usaf","wban","name","country","state","lat","lon","elev","begin","end","gmt_offset","time_zone_id","country_name","country_code","iso3166_2_subd","fips10_4_subd"
"277",749303,99999,"CASTELLO GARAGNONE S","IT","",40.95,16.233,435,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"278",749499,99999,"CERIGNOLA","IT","",41.267,15.917,123,1943,1945,1,"Europe/Rome","Italy","IT","75","13"
"279",749500,99999,"US ARMY POSITION","IT","",41.233,15.8,167,1944,1944,1,"Europe/Rome","Italy","IT","75","13"
"280",749501,99999,"SAN MARCOS EVANGELIS","IT","",41.033,14.333,40,1944,1947,1,"Europe/Rome","Italy","IT","72","04"
"281",749502,99999,"FINOCCHIO","IT","",41.867,12.667,20,1944,1944,1,"Europe/Rome","Italy","IT","62","07"
"282",749504,99999,"RIONE TRIESTE","IT","",40.867,14.467,81,1944,1944,1,"Europe/Rome","Italy","IT","72","04"
"283",749505,99999,"MASSERIA TORRETTA","IT","",41.183,15.767,223,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"284",749506,99999,"FANDETTA","IT","",41.417,15.65,69,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"285",749507,99999,"PONTEDERA","IT","",43.65,10.617,11,1944,1945,1,"Europe/Rome","Italy","IT","52","16"
"286",749508,99999,"VADA EAST","IT","",43.35,10.483,14,1944,1944,1,"Europe/Rome","Italy","IT","52","16"
"287",749510,99999,"MASSERIA TRENTANGELI","IT","",41,15.867,389,1944,1945,1,"Europe/Rome","Italy","IT","77","02"
"288",749511,99999,"FIRENZE CENTER","IT","",43.767,11.25,67,1944,1945,1,"Europe/Rome","Italy","IT","52","16"
"289",749512,99999,"MASSERIA FIGURELLA","IT","",41.6,15.3,97,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"290",749513,99999,"LIVORNO","IT","",43.533,10.25,0,1944,1945,1,"Europe/Rome","Italy","IT",NA,NA
"291",749514,99999,"MASSERIA IL TORO","IT","",41.3,15.833,91,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"292",749515,99999,"ROME ITALY/CIAMPINO AB","IT","",41.8,12.6,129,1944,1947,1,"Europe/Rome","Italy","IT","62","07"
"293",749518,99999,"CASTELLANA","IT","",40.917,14.433,27,1944,1945,1,"Europe/Rome","Italy","IT","72","04"
"294",749519,99999,"SAN GIOVANNI FONTE","IT","",41.233,15.8,167,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"295",749521,99999,"SAN SEVERO","IT","",41.7,15.433,50,1943,1945,1,"Europe/Rome","Italy","IT","75","13"
"296",749522,99999,"MASSERIA CANTONE","IT","",41.55,15.55,62,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"297",749523,99999,"LUCERA","IT","",41.5,15.333,125,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"298",749525,99999,"MASSERIA CATENACCIO","IT","",41.283,15.467,154,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"299",749526,99999,"TRE CONI","IT","",41.75,12.683,374,1944,1944,1,"Europe/Rome","Italy","IT","62","07"
"300",749527,99999,"VILLA MANZARI","IT","",41.283,15.717,124,1945,1945,1,"Europe/Rome","Italy","IT","75","13"
"301",749528,99999,"TORRETTO ITALY","IT","",41.183,15.766,223,1944,1945,1,"Europe/Rome","Italy","IT","75","13"
"302",749530,99999,"PRUNELLI CORSICA","IT","",42,9.383,163,1944,1944,1,"Europe/Paris","France","FR","H","A5"
"303",749534,99999,"FRATTAMAGGIORE ITALY","IT","",40.883,14.283,43,1944,1944,1,"Europe/Rome","Italy","IT","72","04"
"304",749536,99999,"CASA DALFONSO","IT","",41.717,15.367,38,1943,1945,1,"Europe/Rome","Italy","IT","75","13"
"305",749537,99999,"CALETTA","IT","",43.4,10.4,0,1945,1945,1,"Europe/Rome","Italy","IT",NA,NA
"306",998410,99999,"BUOY 61213","IT","",40.549,8.107,3,2013,2014,1,"Europe/Rome","Italy","IT",NA,NA
"307",998414,99999,"BUOY 61211","IT","",39.451,15.917,3,2013,2015,1,"Europe/Rome","Italy","IT",NA,NA
"308",998415,99999,"BUOY 61216","IT","",42.133,11.689,3,2013,2014,1,"Europe/Rome","Italy","IT",NA,NA
"309",998416,99999,"BUOY 61210","IT","",39.024,17.22,3,2013,2014,1,"Europe/Rome","Italy","IT",NA,NA
"310",998418,99999,"BUOY 61208","IT","",37.518,12.533,3,2013,2014,1,"Europe/Rome","Italy","IT",NA,NA
"311",998419,99999,"BUOY 61215","IT","",40.975,17.378,3,2013,2015,1,"Europe/Rome","Italy","IT",NA,NA
"312",998421,99999,"BUOY 61209","IT","",38.258,13.333,3,2013,2014,1,"Europe/Rome","Italy","IT",NA,NA
"313",999999,33126,"SIGONELLA","IT","",37.4,14.917,31.1,1960,1978,1,"Europe/Rome","Italy","IT","82","15"
"314",999999,34194,"VERONA","IT","",45.467,10.933,93,1960,1967,1,"Europe/Rome","Italy","IT","34","20"
